study_name,Earliest Published Date,study_name_mod,earlypub_mod
,15-Mar,2017 Floerke,4.2017
,13-May,2017 Sands,7.2017
,,2019 Palmer,6.2018
2017 Floerke,17-Sep,2013 Koopman-Holm,1.2013
2017 Sands,17-Jul,2018 Yip,8.2018
2019 Palmer,18-Jun,2014 Kumar,0.2014
,17-Jul,2012 Chen,0.2012
,16-Jun,2018 Lin,1.2017
2013 Koopman-Holm,13-Jan,2006 Tsai,2.2006
,13-Nov,2011 Li,6.2011
,17-Jan,2019 Tsai,6.2018
2018 Yip,18-Aug,2014 Mannell Diss,3.2014
2014 Kumar,2014,2018 Ito,5.2018
2012 Chen,2012,2014 Ditzfield Thesis,0.2014
2018 Lin,18-Apr,2018 Yamada,12.2017
2006 Tsai,6-Feb,2015 Chow,10.2015
2011 Li,11-Jun,2014 Koopman-Holm,9.2014
2019 Tsai,18-Jun,2007 Tsai,3.2007
,2014,2016 Tsai,1.2016
2014 Mannell Diss,14-Mar,2016 Da Jiang LTP,7.2015
,2014,2018 Gentzler,2.2018
2018 Ito,18-May,2018 Swerdlow,6.2018
,2016,2017 Park study1,3.2017
2014 Ditzfield Thesis,2014,2017 Park study2,3.2017
,,2012 Ruby,7.2012
2018 Yamada,17-Dec,2012 Chow,1.2012
2015 Chow,15-Oct,2014 Mortazavi,10.2014
2014 Koopman-Holm,14-Sep,2014 Ditzfield study1_sample1,10.2013
2007 Tsai,7-Mar,2018 Bencharit,7.2018
,2011,2013 Scheibe,10.2012
,7-Sep,2016 Da Jiang FTP,7.2015
,7-Jun,2014 Luong,0.2012
2016 Tsai,16-Jan,2009 Scollon,11.2007
2016 Da Jiang LTP,15-Jul,2015 Sims,7.2015
,19-Feb,2011 Harmon-Jones,8.2011
2018 Gentzler,18-Feb,2012 Tamir,2.2012
2018 Swerdlow,18-Jun,2014 Ford,8.2013
,15-Sep,2014 Mannell study1,3.2014
2017 Park,17-Mar,2016 Ito,7.2014
2012 Ruby,12-Jul,2016 Koc,9.2016
,14-Oct,2016 Tamir,1.2015
2012 Chow,12-Jan,2016 Thompson,3.2016
,12-Oct,2017 Chim,6.2017
2014 Mortazavi,14-Oct,2017 Gui,0.2017
2014 Ditzfield,13-Oct,2017 Oosterhoff,1.2017
2018 Benachrit,18-Jul,2017 Parker,11.2016
2013 Scheibe,12-Oct,2018 Koc Identity Integration,10.2017
,2018,2018 Lee,5.2018
,2015,2018 Shim,4.2018
,13-Aug,2018 Tompson,4.2014
2016 Da Jiang FTP,15-Jul,2018 Tsai,10.2018
Same sample as 2018 Lin,17-Jan,,
2014 Luong,2012,,
2009 Scollon,7-Nov,,
2015 Sims,15-Jun,,
,17-Apr,,
,19-Jan,,
,14-Oct,,
,10-Jan,,
,19-Jun,,
,2015,,
,10-May,,
,2017,,
,8-Dec,,
,16-Jun,,
,13-Aug,,
2011 Harmon-Jones,"August, 2011",,
2012 Tamir,12-Feb,,
2014 Ford,13-Aug,,
2014 Mannell,14-Mar,,
2016 Ito,14-Jul,,
2016 Koc,16-Sep,,
2016 Tamir,15-Jan,,
2016 Thompson,16-Mar,,
2017 Chim,17-Jun,,
2017 Gui,2017,,
2017 Oosterhoff,17-Jan,,
2017 Parker,16-Nov,,
2018 Koc Identity Integration,17-Oct,,
2018 Lee,18-May,,
2018 Shim,18-Apr,,
2018 Tompson,14-Apr,,
2018 Tsai,18-Oct,,
2018 Yip,18-Aug,,
2017 Floerke,17-Apr,,
