paper_study
2006 Tsai
2007 Tsai
2007 Tsai Influence
2013 Koopman-Holm
2013 Scheibe
2014 Koopman-Holm
2015 Sims
2015 Sims Patients
2016 Da Jiang FTP
2016 Da Jiang LTP
2016 Park
2016 Tsai
2017 Chim
2017 Park
2018 Bencharit
2018 Lee
2018 Sims
2018 Tsai
2019 Tsai
2020 Koopmann-Holm 2
2020 Park
Unpublished Bencharit Leadership
Unpublished Blevins Dissertation
Unpublished Cachia Love
Unpublished Cachia Reputation
Unpublished Cachia Reputation Flipped
Unpublished Cachia Reputation Graphic
2022 Clobert
